Pos    ,0,      Vel:    ,0,       Acc:     ,0,0.1
Pos    ,0,      Vel:    ,0,       Acc:     ,0,0.2
Pos    ,0,      Vel:    ,0,       Acc:     ,0,0.3
Pos    ,0,      Vel:    ,0,       Acc:     ,0,0.4
Pos    ,0,      Vel:    ,0,       Acc:     ,0,0.5
Pos    ,0,      Vel:    ,0,       Acc:     ,0,0.6
Pos    ,0,      Vel:    ,0,       Acc:     ,0,0.7
Pos    ,0,      Vel:    ,0,       Acc:     ,0,0.8
Pos    ,0,      Vel:    ,0,       Acc:     ,0,0.9
Pos    ,0,      Vel:    ,0,       Acc:     ,0,1
Pos    ,0,      Vel:    ,0,       Acc:     ,0,1.1
Pos    ,0,      Vel:    ,0,       Acc:     ,0,1.2
Pos    ,0,      Vel:    ,0,       Acc:     ,0,1.3
Pos    ,0,      Vel:    ,0,       Acc:     ,0,1.4
Pos    ,0,      Vel:    ,0,       Acc:     ,0,1.5
Pos    ,0,      Vel:    ,0,       Acc:     ,0,1.6
Pos    ,0,      Vel:    ,0,       Acc:     ,0,1.7
Pos    ,0,      Vel:    ,0,       Acc:     ,0,1.8
Pos    ,0,      Vel:    ,0,       Acc:     ,0,1.9
Pos    ,-1,      Vel:    ,-2,       Acc:     ,-4,2
Pos    ,-4,      Vel:    ,-4,       Acc:     ,0,2.1
Pos    ,-8,      Vel:    ,-4,       Acc:     ,0,2.2
Pos    ,-14,      Vel:    ,-8,       Acc:     ,-8,2.3
Pos    ,-25,      Vel:    ,-14,       Acc:     ,-4,2.4
Pos    ,-41,      Vel:    ,-18,       Acc:     ,-5,2.5
Pos    ,-61,      Vel:    ,-23,       Acc:     ,-5,2.6
Pos    ,-87,      Vel:    ,-30,       Acc:     ,-9,2.7
Pos    ,-120,      Vel:    ,-37,       Acc:     ,-4,2.8
Pos    ,-158,      Vel:    ,-39,       Acc:     ,0,2.9
Pos    ,-198,      Vel:    ,-41,       Acc:     ,-5,3
Pos    ,-240,      Vel:    ,-44,       Acc:     ,0,3.1
Pos    ,-284,      Vel:    ,-44,       Acc:     ,0,3.2
Pos    ,-328,      Vel:    ,0,       Acc:     ,0,3.3
Pos    ,-328,      Vel:    ,0,       Acc:     ,0,3.4
Pos    ,-328,      Vel:    ,0,       Acc:     ,0,3.5
Pos    ,-328,      Vel:    ,0,       Acc:     ,0,3.6
Pos    ,-328,      Vel:    ,0,       Acc:     ,0,3.7
Pos    ,-329,      Vel:    ,-3,       Acc:     ,-6,3.8
Pos    ,-333,      Vel:    ,-6,       Acc:     ,0,3.9
Pos    ,-339,      Vel:    ,-6,       Acc:     ,0,4
Pos    ,-345,      Vel:    ,0,       Acc:     ,0,4.1
Pos    ,-345,      Vel:    ,0,       Acc:     ,0,4.2
Pos    ,-345,      Vel:    ,0,       Acc:     ,0,4.3
Pos    ,-345,      Vel:    ,0,       Acc:     ,0,4.4
Pos    ,-345,      Vel:    ,0,       Acc:     ,0,4.5
Pos    ,-345,      Vel:    ,0,       Acc:     ,0,4.6
Pos    ,-345,      Vel:    ,0,       Acc:     ,0,4.7
Pos    ,-345,      Vel:    ,0,       Acc:     ,0,4.8
Pos    ,-345,      Vel:    ,0,       Acc:     ,0,4.9
Pos    ,-345,      Vel:    ,0,       Acc:     ,0,5
Pos    ,-345,      Vel:    ,0,       Acc:     ,0,5.1
Pos    ,-345,      Vel:    ,0,       Acc:     ,0,5.2
Pos    ,-345,      Vel:    ,0,       Acc:     ,0,5.3
Pos    ,-345,      Vel:    ,0,       Acc:     ,0,5.4
Pos    ,-345,      Vel:    ,0,       Acc:     ,0,5.5
Pos    ,-345,      Vel:    ,0,       Acc:     ,0,5.6
Pos    ,-345,      Vel:    ,0,       Acc:     ,0,5.7
Pos    ,-345,      Vel:    ,0,       Acc:     ,0,5.8
Pos    ,-345,      Vel:    ,0,       Acc:     ,0,5.9
Pos    ,-345,      Vel:    ,0,       Acc:     ,0,6
Pos    ,-345,      Vel:    ,0,       Acc:     ,0,6.1
Pos    ,-345,      Vel:    ,0,       Acc:     ,0,6.2
Pos    ,-345,      Vel:    ,0,       Acc:     ,0,6.3
Pos    ,-345,      Vel:    ,0,       Acc:     ,0,6.4
Pos    ,-345,      Vel:    ,0,       Acc:     ,0,6.5
Pos    ,-345,      Vel:    ,0,       Acc:     ,0,6.6
Pos    ,-345,      Vel:    ,0,       Acc:     ,0,6.7
